Odour_presentation,Duration_sniffing,Source,Odour_type_presentation,Video_id,Genotype,Sex,Age,Filtered,Status
Odour1.1,23.6,Manual,Water1,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour1.2,3.3,Manual,Water2,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour1.3,4.1,Manual,Water3,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour2.1,35.3,Manual,Familiar1,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour2.2,9.1,Manual,Familiar2,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour2.3,4,Manual,Familiar3,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour3.1,18.2,Manual,Novel1,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour3.2,12.1,Manual,Novel2,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour3.3,10.2,Manual,Novel3,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour1.1,19.6,Manual,Water1,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour1.2,4.6,Manual,Water2,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour1.3,8.4,Manual,Water3,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour2.1,31.6,Manual,Familiar1,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour2.2,22.1,Manual,Familiar2,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour2.3,19.4,Manual,Familiar3,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour3.1,25,Manual,Novel1,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour3.2,12.5,Manual,Novel2,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour3.3,17.2,Manual,Novel3,1640080258516_000000_20211221WFNC9ORF13c,2,Female,15,No,1
Odour1.1,8.7,Manual,Water1,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,0
Odour1.2,0,Manual,Water2,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,0
Odour1.3,2.9,Manual,Water3,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,0
Odour2.1,21.3,Manual,Familiar1,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour2.2,25.4,Manual,Familiar2,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour2.3,6.1,Manual,Familiar3,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour3.1,11.5,Manual,Novel1,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour3.2,14.3,Manual,Novel2,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour3.3,15.4,Manual,Novel3,1640080293769_000000_20211221WFNC9ORF31f,2,Female,15,No,1
Odour1.1,19.96,ML,Water1,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour1.2,0.6,ML,Water2,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour1.3,5.04,ML,Water3,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
Odour2.1,41.24,ML,Familiar1,1640080226289_000000_20211221WFNC9ORF22d,2,Female,15,No,1
