Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Age,Filtered,Status
Odour1.1,32.7,Novel1,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,1
Odour1.2,25,Novel2,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,1
Odour1.3,4.6,Novel3,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,1
Odour2.1,15.2,Water1,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,1
Odour2.2,1.8,Water2,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,1
Odour2.3,0,Water3,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,1
Odour3.1,0,Familiar1,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,0
Odour3.2,0,Familiar2,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,0
Odour3.3,0,Familiar3,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,15,No,0
Odour1.1,38,Novel1,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour1.2,22.2,Novel2,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour1.3,4.7,Novel3,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour2.1,17.3,Water1,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour2.2,0,Water2,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour2.3,0,Water3,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour3.1,23.1,Familiar1,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour3.2,6.1,Familiar2,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour3.3,0,Familiar3,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,15,No,1
Odour1.1,46.5,Novel1,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
Odour1.2,78.9,Novel2,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
Odour1.3,74.7,Novel3,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,15,No,1
