Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour1.3,15.7,Familiar3,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour1.3,G,Familiar3,Familiar,3
Odour2.1,21.4,Novel1,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour2.1,G,Novel1,Novel,1
Odour2.2,7.1,Novel2,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour2.2,G,Novel2,Novel,2
Odour2.3,0.7,Novel3,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour2.3,G,Novel3,Novel,3
Odour3.1,22.7,Water1,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour3.1,G,Water1,Water,1
Odour3.2,2,Water2,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour3.2,G,Water2,Water,2
Odour3.3,5.3,Water3,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour3.3,G,Water3,Water,3
Odour1.1,20,Familiar1,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,Odour1.1,G,Familiar1,Familiar,1
Odour1.2,9.5,Familiar2,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,Odour1.2,G,Familiar2,Familiar,2
Odour1.3,0.8,Familiar3,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,Odour1.3,G,Familiar3,Familiar,3
Odour2.1,45.8,Novel1,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,Odour2.1,G,Novel1,Novel,1
Odour2.2,33.8,Novel2,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,Odour2.2,G,Novel2,Novel,2
Odour2.3,11.9,Novel3,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,Odour2.3,G,Novel3,Novel,3
Odour1.1,33.7,Novel1,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour1.1,G,Novel1,Novel,1
Odour1.2,10.7,Novel2,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour1.2,G,Novel2,Novel,2
Odour1.3,12.9,Novel3,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour1.3,G,Novel3,Novel,3
Odour2.1,14.5,Water1,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour2.1,G,Water1,Water,1
Odour2.2,8,Water2,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour2.2,G,Water2,Water,2
Odour2.3,1.2,Water3,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour2.3,G,Water3,Water,3
Odour3.1,21.1,Familiar1,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,0.3,Familiar2,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour3.2,G,Familiar2,Familiar,2
Odour3.3,0,Familiar3,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,32.7,Novel1,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,Odour1.1,G,Novel1,Novel,1
Odour1.2,25,Novel2,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,Odour1.2,G,Novel2,Novel,2
Odour1.3,4.6,Novel3,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,Odour1.3,G,Novel3,Novel,3
Odour2.1,15.2,Water1,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,Odour2.1,G,Water1,Water,1
Odour2.2,1.8,Water2,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,Odour2.2,G,Water2,Water,2
Odour2.3,0,Water3,1645010941753_000000_120220216NWFTDP4333h,Manual,G,Male,Odour2.3,G,Water3,Water,3
Odour1.1,38,Novel1,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour1.1,G,Novel1,Novel,1
Odour1.2,22.2,Novel2,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour1.2,G,Novel2,Novel,2
Odour1.3,4.7,Novel3,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour1.3,G,Novel3,Novel,3
Odour2.1,17.3,Water1,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour2.1,G,Water1,Water,1
Odour2.2,0,Water2,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour2.2,G,Water2,Water,2
Odour2.3,0,Water3,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour2.3,G,Water3,Water,3
Odour3.1,23.1,Familiar1,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,6.1,Familiar2,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour3.2,G,Familiar2,Familiar,2
Odour3.3,0,Familiar3,1645010974796_000000_120220216NWFTDP4351g,Manual,G,Male,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,46.5,Novel1,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,78.9,Novel2,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,74.7,Novel3,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour1.3,H,Novel3,Novel,3
Odour2.1,40.1,Water1,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour2.1,H,Water1,Water,1
Odour2.2,31.6,Water2,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour2.2,H,Water2,Water,2
Odour2.3,4.3,Water3,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour2.3,H,Water3,Water,3
Odour3.1,70.8,Familiar1,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour3.1,H,Familiar1,Familiar,1
Odour3.2,46.3,Familiar2,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour3.2,H,Familiar2,Familiar,2
Odour3.3,7.5,Familiar3,1645013391217_000000_120220216NWFTDP4371e,Manual,H,Male,Odour3.3,H,Familiar3,Familiar,3
Odour1.1,13.4,Novel1,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour1.1,G,Novel1,Novel,1
Odour1.2,8.5,Novel2,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour1.2,G,Novel2,Novel,2
Odour1.3,13.6,Novel3,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour1.3,G,Novel3,Novel,3
Odour2.1,19.2,Familiar1,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,16.3,Familiar2,1645092945395_000000_20220217NFWTDP4333m,Manual,G,Male,Odour2.2,G,Familiar2,Familiar,2
