Odour_presentation,Duration_sniffing,Odour_type_presentation,mouse_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour2.2,0,Novel2,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour2.2,4,Novel2,Novel,2
Odour2.3,13.8,Novel3,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour2.3,4,Novel3,Novel,3
Odour3.1,21.3,Water1,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour3.1,4,Water1,Water,1
Odour3.2,6.4,Water2,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour3.2,4,Water2,Water,2
Odour3.3,1.7,Water3,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour3.3,4,Water3,Water,3
Odour1.1,30.6,Novel1,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour1.1,4,Novel1,Novel,1
Odour1.2,13.84,Novel2,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour1.2,4,Novel2,Novel,2
Odour1.3,11.48,Novel3,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour1.3,4,Novel3,Novel,3
Odour2.1,25.84,Water1,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour2.1,4,Water1,Water,1
Odour2.2,9.24,Water2,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour2.2,4,Water2,Water,2
Odour2.3,0,Water3,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour2.3,4,Water3,Water,3
Odour3.1,20.44,Familiar1,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour3.1,4,Familiar1,Familiar,1
Odour3.2,0.84,Familiar2,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour3.2,4,Familiar2,Familiar,2
Odour3.3,18.44,Familiar3,1671611841850_000000_20221221NWFC9ORF31c,ML,4,Female,Odour3.3,4,Familiar3,Familiar,3
Odour1.1,36.64,Novel1,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour1.1,2,Novel1,Novel,1
Odour1.2,15.28,Novel2,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour1.2,2,Novel2,Novel,2
Odour1.3,10.12,Novel3,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour1.3,2,Novel3,Novel,3
Odour2.1,34.64,Familiar1,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour2.1,2,Familiar1,Familiar,1
Odour2.2,10.12,Familiar2,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour2.2,2,Familiar2,Familiar,2
Odour2.3,6.92,Familiar3,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour2.3,2,Familiar3,Familiar,3
Odour3.1,14.4,Water1,1671614382683_000000_20221221NFWC9ORF31d,ML,2,Female,Odour3.1,2,Water1,Water,1
